Frequency [Hz], |S00| [-], Arg(S00) [-], Delay 0>0 [s], |Z0| [Ohm] , Arg(Z0) [-]
4.736000e+08, 1.001633e+00, -1.342282e+00, 4.326446e-10, 6.296334e+01, -1.572471e+00
4.774000e+08, 1.001612e+00, -1.352611e+00, 4.321839e-10, 6.229989e+01, -1.572446e+00
4.812000e+08, 1.001590e+00, -1.362930e+00, 4.317230e-10, 6.164562e+01, -1.572420e+00
4.850000e+08, 1.001566e+00, -1.373238e+00, 4.312623e-10, 6.100030e+01, -1.572393e+00
4.888000e+08, 1.001542e+00, -1.383535e+00, 4.308018e-10, 6.036372e+01, -1.572365e+00
4.926000e+08, 1.001517e+00, -1.393821e+00, 4.303419e-10, 5.973567e+01, -1.572336e+00
4.964000e+08, 1.001491e+00, -1.404096e+00, 4.298827e-10, 5.911596e+01, -1.572307e+00
5.002000e+08, 1.001464e+00, -1.414360e+00, 4.294246e-10, 5.850437e+01, -1.572278e+00
5.040000e+08, 1.001437e+00, -1.424613e+00, 4.289676e-10, 5.790073e+01, -1.572248e+00
5.078000e+08, 1.001409e+00, -1.434855e+00, 4.285120e-10, 5.730484e+01, -1.572218e+00
5.116000e+08, 1.001381e+00, -1.445086e+00, 4.280580e-10, 5.671653e+01, -1.572187e+00
5.154000e+08, 1.001352e+00, -1.455306e+00, 4.276058e-10, 5.613562e+01, -1.572157e+00
5.192000e+08, 1.001323e+00, -1.465516e+00, 4.271555e-10, 5.556194e+01, -1.572126e+00
5.230000e+08, 1.001295e+00, -1.475715e+00, 4.267074e-10, 5.499533e+01, -1.572096e+00
5.268000e+08, 1.001266e+00, -1.485903e+00, 4.262616e-10, 5.443562e+01, -1.572066e+00
5.306000e+08, 1.001237e+00, -1.496080e+00, 4.258183e-10, 5.388266e+01, -1.572036e+00
5.344000e+08, 1.001208e+00, -1.506247e+00, 4.253775e-10, 5.333630e+01, -1.572006e+00
5.382000e+08, 1.001179e+00, -1.516403e+00, 4.249396e-10, 5.279638e+01, -1.571977e+00
5.420000e+08, 1.001151e+00, -1.526549e+00, 4.245045e-10, 5.226278e+01, -1.571948e+00
5.458000e+08, 1.001123e+00, -1.536685e+00, 4.240724e-10, 5.173534e+01, -1.571919e+00
5.496000e+08, 1.001095e+00, -1.546810e+00, 4.236435e-10, 5.121393e+01, -1.571892e+00
5.534000e+08, 1.001068e+00, -1.556925e+00, 4.232178e-10, 5.069842e+01, -1.571864e+00
5.572000e+08, 1.001042e+00, -1.567030e+00, 4.227954e-10, 5.018868e+01, -1.571838e+00
5.610000e+08, 1.001016e+00, -1.577125e+00, 4.223764e-10, 4.968459e+01, -1.571812e+00
5.648000e+08, 1.000991e+00, -1.587209e+00, 4.219609e-10, 4.918602e+01, -1.571787e+00
5.686000e+08, 1.000966e+00, -1.597284e+00, 4.215489e-10, 4.869285e+01, -1.571763e+00
